id,date,title,category,importance,note
1,2026-08-21,台股週五交易日｜本實驗第一個可交易日,market,3,系統於 8/20 深夜建置完成，8/21 10:00 起才具備下單條件。
2,2026-08-26,NVIDIA FY27Q2 財報（美國時間盤後）,earnings,5,市場預期營收 93–95 億美元區間（約 +96% YoY），公司指引 91 億 ±2%，EPS 預期約 2.08。台股要到 8/27 才反應。這是本季 AI 供應鏈最大的單一事件風險。
3,2026-08-27,台股反應 NVIDIA 財報,market,5,利多出盡或再推升一波，方向未定。
4,2026-08-31,MSCI 調整生效截止,flows,4,台灣權重調高，被動型外資的買盤到此為止，8 月底後這股力量消失。
5,2026-08-24,NVIDIA 財報前最後兩個完整交易日,market,3,8/24、8/25 為財報前僅存的調整窗口。AI 部位若要降，要在這兩天做完。
6,2026-08-27,Jackson Hole 全球央行年會（至 8/29）,macro,4,主席談話常牽動利率路徑預期。降低高估值、利率敏感部位。（行事曆由 ChatGPT 提供，已交叉核對可驗證項目）
7,2026-09-10,台積電 8 月營收,earnings,3,收盤後公布，次一交易日才能反應。（行事曆由 ChatGPT 提供，已交叉核對可驗證項目）
8,2026-09-16,臺指期 9 月合約結算日,market,3,每月第三個週三，結算前後波動放大。已核對：9/16 為週三。
9,2026-09-17,FOMC 利率決議＋經濟預測（台北時間凌晨）,macro,5,9/17 台股開盤時結果已知，依已知結果處理，不預先押方向。（行事曆由 ChatGPT 提供，已交叉核對可驗證項目）
10,2026-09-17,台灣央行理監事會（收盤後）,macro,4,9/18 處理金融、營建與匯率敏感部位。（行事曆由 ChatGPT 提供，已交叉核對可驗證項目）
11,2026-09-24,四天連假前最後交易日,market,4,"9/25 中秋、9/28 孔子誕辰，加上週末形成四天連假。
【委託人提供的經驗法則】連假前通常量縮小跌：丙種資金提前還款省利息，且四天連假要裸露國際市場風險，槓桿部位傾向先減碼。
操作意涵：不必把連假前的弱勢解讀成趨勢轉壞（那是資金結構造成的），但也不宜在連假前重倉。本帳戶預計 9/24 前降低曝險，並記錄實際量價以檢驗此法則。"
12,2026-09-25,台股休市（中秋節）,holiday,2,（行事曆由 ChatGPT 提供，已交叉核對可驗證項目）
13,2026-09-28,台股休市（孔子誕辰）,holiday,2,（行事曆由 ChatGPT 提供，已交叉核對可驗證項目）
14,2026-10-08,台積電 9 月營收,earnings,3,10/9 休市，因此要到 10/12（週一）才能交易反應。（行事曆由 ChatGPT 提供，已交叉核對可驗證項目）
15,2026-10-09,台股休市（國慶日補假）,holiday,2,（行事曆由 ChatGPT 提供，已交叉核對可驗證項目）
16,2026-10-21,臺指期 10 月合約結算日,market,3,已核對：10/21 為週三。
17,2026-10-26,台股休市（光復節補假）,holiday,2,（行事曆由 ChatGPT 提供，已交叉核對可驗證項目）
18,2026-10-29,FOMC 第二次利率決議（台北時間凌晨）,macro,5,10/29 開盤依已知結果調整。（行事曆由 ChatGPT 提供，已交叉核對可驗證項目）
19,2026-11-01,台股 Q3 財報密集期開始（至 11/16）,earnings,4,個股財報風險上升，持股要逐一確認公布日。（行事曆由 ChatGPT 提供，已交叉核對可驗證項目）
20,2026-11-10,台積電 10 月營收＋美國 CPI（晚間）,macro,5,雙事件日，個股與總經風險疊加。（行事曆由 ChatGPT 提供，已交叉核對可驗證項目）
21,2026-11-11,MSCI 指數審查公告,flows,3,生效日落在賽期外，只做短期籌碼觀察，不作為進場理由。（行事曆由 ChatGPT 提供，已交叉核對可驗證項目）
22,2026-11-18,臺指期 11 月合約結算日,market,3,已核對：11/18 為週三。
23,2026-11-20,實驗最後交易日 · 期末估值日,market,5,三個月賽期的最後一個交易日。依規則不強制平倉，以當日收盤市值結算。
